file	line	key	kind	burmese	english	reviewer_fix	notes
src/lib/ui.ts	14	stepSee	app voice (plain Burmese)	မြင်	See		
src/lib/ui.ts	15	stepName	app voice (plain Burmese)	အမည်တပ်	Name		
src/lib/ui.ts	16	stepBuild	app voice (plain Burmese)	တည်ဆောက်	Build		
src/lib/ui.ts	17	frameSee	app voice (plain Burmese)	စာကို ဖတ်ကြည့်ပါ။ ပထမ ခံစားချက်က ဘာလဲ။	Read the message. What's your gut say?		
src/lib/ui.ts	18	frameName	app voice (plain Burmese)	နည်းစနစ် ခြောက်ခုထဲက ဘယ်ဟာ အလုပ်လုပ်နေလဲ။	Which of the six techniques is at work?		
src/lib/ui.ts	19	frameBuild	app voice (plain Burmese)	ကိုယ်တိုင် တစ်ခု လုပ်ကြည့်ပါ — အဲဒါက မှတ်မိစေတယ်။	Make one yourself — that's what makes it stick.		
src/lib/ui.ts	22	pokeMascot	app voice (plain Burmese)	စုံထောက်လေးကို နှိပ်ကြည့်ပါ	Poke the little detective		
src/lib/ui.ts	23	back	app voice (plain Burmese)	‹ နောက်သို့	‹ Back		
src/lib/ui.ts	24	casebookBack	app voice (plain Burmese)	‹ မှတ်စု	‹ Casebook		
src/lib/ui.ts	25	nextCase	app voice (plain Burmese)	နောက် အမှု →	Next case →		
src/lib/ui.ts	28	seeCase	app voice (plain Burmese)	အမှု	CASE		
src/lib/ui.ts	29	newCase	app voice (plain Burmese)	အမှုသစ်	New case		
src/lib/ui.ts	30	arrivedOn	app voice (plain Burmese)	ဒီစာ ရောက်လာတဲ့ နေရာ	This arrived on		
src/lib/ui.ts	31	whatWouldYouDo	app voice (plain Burmese)	သင် ဘာလုပ်မလဲ။	What would you do?		
src/lib/ui.ts	32	voteTrust	app voice (plain Burmese)	ယုံတယ်	Trust it		
src/lib/ui.ts	33	voteNotSure	app voice (plain Burmese)	မသေချာဘူး	Not sure		
src/lib/ui.ts	34	voteDoubt	app voice (plain Burmese)	သံသယရှိတယ်	Doubt it		
src/lib/ui.ts	35	noPenalty	app voice (plain Burmese)	သေချာကြည့်လို့ ဒဏ်မရှိပါ။ ရိုးရိုးသားသား ရွေးပါ။	No penalty for looking closer. Pick honestly.		
src/lib/ui.ts	38	lookCloser	app voice (plain Burmese)	အခု ပိုသေချာ ကြည့်ပါ	Now look closer		
src/lib/ui.ts	39	nameTechniqueCta	app voice (plain Burmese)	နည်းစနစ်ကို အမည်တပ်ပါ →	Name the technique →		
src/lib/ui.ts	40	realHead	app voice (plain Burmese)	ဒါက အစစ်ပါ။	This one's real.		
src/lib/ui.ts	41	realBody	app voice (plain Burmese)	ယုံလိုက်တာ မှန်ပါတယ် — အစစ်ကို အတုလို့ ခေါ်တာလည်း တိကျမှု ဆုံးရှုံးစေတယ်။	Trusting it was the right call — calling real messages fake costs accuracy too.		
src/lib/ui.ts	42	genuineHead	app voice (plain Burmese)	ကောင်းတယ် — ဒါက အစစ်ပါ။	Good — this one's genuine.		
src/lib/ui.ts	43	genuineBody	app voice (plain Burmese)	အမှန်ကို ယုံတတ်တာ ကျွမ်းကျင်မှုတစ်ခုပါ။ ဒါပေမယ့် မသိတဲ့ ပို့သူကို စစ်ပါ။	Trusting true things is a skill. Still, verify senders you don't recognise.		
src/lib/ui.ts	44	closerHead	app voice (plain Burmese)	ပိုကြည့်သင့်တယ်။	Worth a closer look.		
src/lib/ui.ts	45	closerBody	app voice (plain Burmese)	ဒီထဲမှာ သင့်ကို လှုံ့ဆော်ဖို့ ဖန်တီးထားတာ ရှိတယ် — ဘယ်အပိုင်းလဲ ရှာကြည့်ရအောင်။	Something here is built to move you — let's find the part doing it.		
